RegionID,Station Number,Station Name,Station Type,Street Address,State,Postcode,Phone Number,Fax Number,E-Mail,Longitude,Latitude
1,4,Windsor Fire Station,Permanent,7 Truro St Windsor ,Qld,4030,07 3247 5564,,enquiry@windsorfire.qfes.gov.au,153.0331964,-27.42771528
1,6,Redland Bay Fire Station,Permanent,33 Gordon Road Redland Bay ,Qld,4165,07 3829 1403,,enquiry@redlandbayfire.qfes.gov.au,153.2890479,-27.61089735
1,8,Enoggera Fire Station,Permanent,236 Lloyd St Enoggera ,Qld,4051,07 3247 4721,,enquiry@enoggerafire.qfes.gov.au,152.9888173,-27.42545741
1,9,Camp Hill Fire Station,Permanent,112 Ferguson Rd Camp Hill ,Qld,4152,07 3395 4790,,enquiry@camphillfire.qfes.gov.au,153.0785562,-27.48806998
1,11,Hendra Fire Station,Permanent,451 Nudgee Rd Hendra ,Qld,4011,07 3008 9400,,enquiry@hendrafire.qfes.gov.au,153.0748563,-27.41524909
1,12,Taringa Fire Station,Permanent,26 Whitmore St Taringa ,Qld,4068,07 3362 9994,,enquiry@taringafire.qfes.gov.au,152.9871075,-27.49136835
1,16,Chermside Fire Station,Permanent,526 Hamilton Rd Chermside ,Qld,4032,07 3247 4449,,enquiry@chermsidefire.qfes.gov.au,153.0235939,-27.38516275
1,17,Wishart Fire Station,Permanent,203 Dawson Rd Wishart ,Qld,4122,07 3247 5551,,enquiry@wishartfire.qfes.gov.au,153.0906699,-27.55507713
1,18,Durack Fire Station,Permanent,506 Blunder Road Durack ,Qld,4077,07 3710 1277,,enquiry@durackfire.qfes.gov.au,152.9855777,-27.58720545
1,20,Mount Ommaney Fire Station,Permanent,238 Arrabri Av Mount Ommaney ,Qld,4074,07 3033 8600,,enquiry@mountommaneyfire.qfes.gov.au,152.9364322,-27.54806964
1,21,Taigum Fire Station,Permanent,263 Beams Road Taigum ,Qld,4018,07 3865 3605,,enquiry@taigumfire.qfes.gov.au,153.0465131,-27.35100556
1,23,Arana Hills Fire Station,Permanent,1145 South Pine Rd Arana Hills ,Qld,4054,07 3851 0563,,enquiry@aranahillsfire.qfes.gov.au,152.9625168,-27.38969775
1,24,Eatons Hill Fire Station,Permanent,3 Eatons Crossing Road Warner ,Qld,4037,07 3264 5819,,enquiry@eatonshillfire.qfes.gov.au,152.9603611,-27.33647763
1,25,Petrie Fire Station,Permanent,4-6 Young St Petrie ,Qld,4502,07 3897 7804,,enquiry@petriefire.qfes.gov.au,152.9787205,-27.26871557
1,27,Deception Bay Fire Station,Auxiliary,26 Endeavour St Deception Bay ,Qld,4508,07 3888 7644,,enquiry@deceptionbayfire.qfes.gov.au,153.0268065,-27.18452766
1,28,Caboolture Fire Station,Permanent/Auxiliary,54 Lower King St Caboolture ,Qld,4510,07 5498 3347,,enquiry@caboolturefire.qfes.gov.au,152.960892,-27.0858964
1,47,Cleveland Fire Station,Permanent,49 Wellington St Cleveland ,Qld,4163,07 3821 2079,,enquiry@clevelandfire.qfes.gov.au,153.2551348,-27.52901312
1,60,Coochiemudlo Island Fire Station,Auxiliary,45 Elizabeth St Coochiemudlo Island ,Qld,4184,07 3383 1142,,enquiry@coochiemudloislandfire.qfes.gov.au,153.3334904,-27.56917599
1,62,Amity Point Fire Station,Auxiliary,9 Hexton St Amity Point ,Qld,4183,07 3383 1142,,enquiry@amitypointfire.qfes.gov.au,153.4422231,-27.3984497
1,63,Point Lookout Fire Station,Auxiliary,85 East Coast Road Point Lookout ,Qld,4183,07 3383 1142,,enquiry@pointlookoutfire.qfes.gov.au,153.5199925,-27.42645761
1,81,Woodford Fire Station,Auxiliary,2366 DAguilar Highway Woodford ,Qld,4514,07 3888 7644,,enquiry@woodfordfire.qfes.gov.au,152.7803739,-26.96345386
2,17,Walkerston Fire Station,Auxiliary,21 Dutton St Walkerston ,Qld,4751,07 4965 6623,,enquiry@walkerstonfire.qfes.gov.au,149.0685453,-21.16109373
2,26,Sarina Fire Station,Auxiliary,12 Anzac St Sarina ,Qld,4737,07 4965 6621,,enquiry@sarinafire.qfes.gov.au,149.2140672,-21.42073752
2,34,North Rockhampton Fire Station,Permanent,753 Yaamba Road Parkhurst ,Qld,4701,07 4936 4281,07 4936 4283,enquiry@northrockhamptonfire.qfes.gov.au,150.5158143,-23.31450224
2,35,Rockhampton Fire Station,Permanent,113 Kent St Rockhampton ,Qld,4700,07 4930 0500,,enquiry@rockhamptonfire.qfes.gov.au,150.5082426,-23.37949558
2,37,Yeppoon Fire Station,Permanent/Auxiliary,16 Mcbean St Yeppoon ,Qld,4703,07 4939 1608,07 4939 2324,enquiry@yeppoonfire.qfes.gov.au,150.737121,-23.1406659
2,38,Gracemere Fire Station,Auxiliary,34 Bland Street Gracemere ,Qld,4702,07 4927 1277,,enquiry@gracemerefire.qfes.gov.au,150.4561656,-23.44399771
2,40,Agnes Water Fire Station,Auxiliary,Lot 1 Round Hill Road Agnes Water ,Qld,4677,07 4899 2210,,enquiry@agneswaterfire.qfes.gov.au,151.8932958,-24.21997325
2,41,Biloela Fire Station,Auxiliary,190 Callide St Biloela ,Qld,4715,07 4899 2210,,enquiry@biloelafire.qfes.gov.au,150.5039048,-24.39244413
2,42,Boyne Island Fire Station,Auxiliary,6 Gilbert Ct Boyne Island ,Qld,4680,07 4899 2210,,enquiry@boyneislandfire.qfes.gov.au,151.3529525,-23.94690991
2,44,Gladstone Fire Station,Permanent/Auxiliary,3 Charles St West Gladstone ,Qld,4680,07 4979 6589,07 4979 6559,enquiry@gladstonefire.qfes.gov.au,151.2495536,-23.85841774
2,45,Miriam Vale Fire Station,Auxiliary,65 Roe St Miriam Vale ,Qld,4677,07 4899 2210,,enquiry@miriamvalefire.qfes.gov.au,151.5549479,-24.32693587
2,46,Baralaba Fire Station,Auxiliary,22 Stopford St Baralaba ,Qld,4702,07 4899 2210,,enquiry@baralabafire.qfes.gov.au,149.8112691,-24.18248836
2,47,Moura Fire Station,Auxiliary,7 Gilchrist St Moura ,Qld,4718,07 4899 2210,,enquiry@mourafire.qfes.gov.au,149.9745901,-24.57053091
2,48,Thangool Fire Station,Auxiliary,25 Stanley St Thangool ,Qld,4716,07 4899 2210,,enquiry@thangoolfire.qfes.gov.au,150.5745951,-24.48782261
2,62,Capella Fire Station,Auxiliary,18 Conran St Capella ,Qld,4723,07 4983 7590,,enquiry@capellafire.qfes.gov.au,148.0252305,-23.08570395
2,65,Emerald Fire Station,Permanent/Auxiliary,2A Andrews Rd Emerald ,Qld,4720,07 4983 7586,07 4983 7588,enquiry@emeraldfire.qfes.gov.au,148.1725094,-23.54447554
2,66,Middlemount Fire Station,Auxiliary,85 Centenary Dr Middlemount ,Qld,4746,07 4983 7590,,enquiry@middlemountfire.qfes.gov.au,148.7024058,-22.80808595
3,3,Thursday Island Fire Station,Permanent / Auxiliary,Neville Gully Rd Thursday Island ,Qld,4875,07 4069 1275,07 4069 1955,enquiry@thursdayislandfire.qfes.gov.au,142.2222782,-10.57705631
3,13,Cairns South Fire Station,Permanent,80-84 Robert Rd Cairns South ,Qld,4869,07 4252 7200,,enquiry@cairnssouthfire.qfes.gov.au,145.7352115,-17.00350541
